pid,label,collocation,serial_no,acc_old_no,type_of_acquisition,provenance,material,dimension_cm,object_work_type,theme_subject,subject_actor_narrative_scene_s,subject_place_narrative_scene_s,subject_object,description,remarks
obj11,Revelry scene,Dir Museum,11,4,"Exc. Andan-dheri, Dir, 1966",Andan-dheri,Schist,,Relief,Revelry scene,,,"Warrior, musician","Six standing figures, from left: three warriors wearing jacket and trouser; two frontal female musician playing long lute and wearing paridhana, uttariya and anklets; a third warrior with raised right hand and left hand resting on the sword","Broken, chipped"
obj12,Brahmins,Dir Museum,12,425,"Exc. Andan-dheri, Dir, 1966",Andan-dheri,Schist,,Relief,Brahmins,,,"Ascetic, ascetics, brahmin, brahmins","Five standing ascetics, from left: two conversing, three facing right ",Fair
obj13,The Gift of Dust,Dir Museum,13,718,"Exc. Chatpat, Dir, 1964",Chatpat,Schist,,Relief,The Gift of Dust,"Buddha Siddhartha, Joya, monks",Rajagrha,"Ashokavadana, Dust, Buddha, Siddhartha, Joya, Ashoka, monks","Buddha turning left and looking down, right hand raised and left hand originally holding a bowl (?) before Joya. Before the latter are two figures, one kneeling down and preaching in the foreground, the other standing in the background next to a tree with upward branches. On the left are two monks with right hand on chest","Broken, chipped"
obj14,Garland bearers,Dir Museum,14,599,"Exc. Chatpat, Dir, 1964",Chatpat,Schist,,Cornice,Garland bearers,,,"Cornice, garland","Projecting base with scroll. Wavy garland with composite motif and pendent fruits. Four male (?) bearers, three in the foreground holding the garland, two in the background.","Broken, chipped"
obj15,Bodhisattva,Dir Museum,15,837,"Exc. Barcharay, Dir, 1968",Barcharay,Schist ,,Statue,Bodhisattva,,,Bodhisattva,"Head of Bodhisattva, with urna, closed eyes, and hair with a web of ornaments; nimbus decorated with bordered ogival leaf-and-dart and plain border; against the nimbus is a standing figure wearing paridhana and uttariya and with joined hands","Broken, chipped"
obj16,Birth of Siddhartha (?),Dir Museum,16,436,"Exc. Andan-dheri, Dir, 1966",Andan-dheri,Schist,,Relief,Birth of Siddhartha (?),"Siddhartha, Maya, Mahamaya, Mahaprajapati",Lumbini,"Birth, Siddhartha, infant, Maya, Mahamaya, Mahaprajapti, Lumbini","Legs of two female figures. On the left was probably Maya giving birth, standing frontal with crossed legs, wearing paridhana and belt with hanging band. On the right was probably Mahaprajapati, standing frontal with left hand over Maya's left thigh, wearing long tunic spreading at the feet, mantle and shoes","Broken, chipped"
obj17,Bath of Siddhartha,Dir Museum,17,1225,"Donated by political agent, Malakand Agency",,Schist,,Relief with superimposed scenes,Bath of Siddhartha,"Siddhartha, Indra, Brahma",Kapilavastu,"Bath, Siddhartha, infant, Indra, Brahma","Two superimposed scenes searated by a cornice decorated with straight festoon with overlapping lanceolate leaves. Above: five standing figures in different attitudes, one holding a spear, one a fan. Below: Infant Siddhartha standing naked and held by two kneeling women; behind them are Indra and Brahma pouring water over him from a jar","Broken, chipped"
obj18,Marine creature,Dir Museum,18,5,"Exc. Andan-dheri, Dir, 1966",,Schist,,"Architectural element, stair-side element (string triangular element)",Marine creature,,,"Stair-side, marine creature",Marine creature with snake tail turning right,"Fair, chipped"
obj19,Bodhisattva,Dir Museum,19,740,"Exc. Chatpat, Dir, 1964",,Schist,,Stele statue,Bodhisattva,,,"Bodhisattva, stele, statue","Bodhisattva (Maitreya?), right hand in abhayamudra, wearing uttariya wrapped around the left shoulder and ornaments; hair with a web of ornaments, urna, closed eyes; nimbus with border of pearls","Broken, chipped"
obj20,Scenes of the Buddha's last existence: Birth Cycle,Dir Museum,20,"644, 645","Exc. Chatpat, Dir, 1964",,Schist,,Relief with separate scenes,Scenes of the Buddha's last existence: Birth Cycle,"Maya, Mahamaya, Suddhodana, Asita",Lumbini,"Maya, Mahamaya, elephant, bed, dream, Suddhodana, Asita, brahmin, horoscope, interpretation","Double-fillet carinated cornice. Two scenes, from right to left: The Dream of Queen Maya; Interpretation of Maya's dream","Broken, chipped"
